    # Energy          Fe          Si
   -21.20529     0.00000     0.00000
   -21.19529     0.00000     0.00000
   -21.18629     0.00000     0.00000
   -21.17629     0.00000     0.00000
   -21.16729     0.00000     0.00000
   -21.15729     0.00000     0.00000
   -21.14729     0.00000     0.00000
   -21.13829     0.00000     0.00000
   -21.12829     0.00000     0.00000
   -21.11929     0.00000     0.00000
   -21.10929     0.00000     0.00000
   -21.09929     0.00000     0.00000
   -21.09029     0.00000     0.00000
   -21.08029     0.00000     0.00000
   -21.07129     0.00000     0.00000
   -21.06129     0.00000     0.00000
   -21.05129     0.00000     0.00000
   -21.04229     0.00000     0.00000
   -21.03229     0.00000     0.00000
   -21.02329     0.00000     0.00000
   -21.01329     0.00000     0.00000
   -21.00329     0.00000     0.00000
   -20.99429     0.00000     0.00000
   -20.98429     0.00000     0.00000
   -20.97529     0.00000     0.00000
   -20.96529     0.00000     0.00000
   -20.95529     0.00000     0.00000
   -20.94629     0.00000     0.00000
   -20.93629     0.00000     0.00000
   -20.92629     0.00000     0.00000
   -20.91729     0.00000     0.00000
   -20.90729     0.00000     0.00000
   -20.89829     0.00000     0.00000
   -20.88829     0.00000     0.00000
   -20.87829     0.00000     0.00000
   -20.86929     0.00000     0.00000
   -20.85929     0.00000     0.00000
   -20.85029     0.00000     0.00000
   -20.84029     0.00000     0.00000
   -20.83029     0.00000     0.00000
   -20.82129     0.00000     0.00000
   -20.81129     0.00000     0.00000
   -20.80229     0.00000     0.00000
   -20.79229     0.00000     0.00000
   -20.78229     0.00000     0.00000
   -20.77329     0.00000     0.00000
   -20.76329     0.00000     0.00000
   -20.75429     0.00000     0.00000
   -20.74429     0.00000     0.00000
   -20.73429     0.00000     0.00000
   -20.72529     0.00000     0.00000
   -20.71529     0.00000     0.00000
   -20.70629     0.00000     0.00000
   -20.69629     0.00000     0.00000
   -20.68629     0.00000     0.00000
   -20.67729     0.00000     0.00000
   -20.66729     0.00000     0.00000
   -20.65829     0.00000     0.00000
   -20.64829     0.00000     0.00000
   -20.63829     0.00000     0.00000
   -20.62929     0.00000     0.00000
   -20.61929     0.00000     0.00000
   -20.61029     0.00000     0.00000
   -20.60029     0.00000     0.00000
   -20.59029     0.00000     0.00000
   -20.58129     0.00000     0.00000
   -20.57129     0.00000     0.00000
   -20.56229     0.00000     0.00000
   -20.55229     0.00000     0.00000
   -20.54229     0.00000     0.00000
   -20.53329     0.00000     0.00000
   -20.52329     0.00000     0.00000
   -20.51429     0.00000     0.00000
   -20.50429     0.00000     0.00000
