    # Energy          Si          Cr          Mn          Fe          Ni
   -20.92125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.91125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38125     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37125     0.00000     0.00000     0.00000     0.00000     0.00000
