    # Energy          Si          Cr          Mn          Fe          Ni
   -20.93861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.91861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.31861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.29861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.25861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.22861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.17861     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16861     0.00000     0.00000     0.00000     0.00000     0.00000
