    # Energy          Si          Ti          Cr          Fe          Ni
   -20.15472     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14472     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.13572     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12572     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.11672     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10672     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09672     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08772     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07772     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06872     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05872     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04872     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03972     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02972     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02072     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01072     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94372     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93372     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89572     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88572     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87572     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86672     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85672     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84772     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83772     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82772     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71272     0.00000     0.00000     0.00000     0.00000     0.00000
