     12.00000000    -12.0000000020000      8.91944597      1.00000000
      8.709  0.3708E+02  0.1600E+02  0.1264E+03  0.1215E+03
      8.711  0.3711E+02  0.1571E+02  0.1265E+03  0.1215E+03
      8.712  0.3628E+02  0.1540E+02  0.1265E+03  0.1216E+03
      8.713  0.3542E+02  0.1506E+02  0.1266E+03  0.1216E+03
      8.714  0.3356E+02  0.1468E+02  0.1266E+03  0.1216E+03
      8.715  0.3069E+02  0.1426E+02  0.1267E+03  0.1216E+03
      8.717  0.2714E+02  0.1378E+02  0.1267E+03  0.1216E+03
      8.718  0.2346E+02  0.1324E+02  0.1267E+03  0.1216E+03
      8.719  0.1729E+02  0.1277E+02  0.1267E+03  0.1217E+03
      8.720  0.1583E+02  0.1239E+02  0.1268E+03  0.1217E+03
      8.721  0.1476E+02  0.1212E+02  0.1268E+03  0.1217E+03
      8.723  0.1375E+02  0.1194E+02  0.1268E+03  0.1217E+03
      8.724  0.1278E+02  0.1181E+02  0.1268E+03  0.1217E+03
      8.725  0.1142E+02  0.1174E+02  0.1268E+03  0.1217E+03
      8.726  0.1065E+02  0.1172E+02  0.1268E+03  0.1217E+03
      8.727  0.1014E+02  0.1176E+02  0.1269E+03  0.1218E+03
      8.729  0.9550E+01  0.1186E+02  0.1269E+03  0.1218E+03
      8.730  0.8982E+01  0.1201E+02  0.1269E+03  0.1218E+03
      8.731  0.8437E+01  0.1198E+02  0.1269E+03  0.1218E+03
      8.732  0.7916E+01  0.1164E+02  0.1269E+03  0.1218E+03
      8.733  0.7418E+01  0.1127E+02  0.1269E+03  0.1218E+03
      8.735  0.6943E+01  0.1093E+02  0.1269E+03  0.1218E+03
      8.736  0.6491E+01  0.1061E+02  0.1269E+03  0.1219E+03
      8.737  0.6063E+01  0.1033E+02  0.1269E+03  0.1219E+03
      8.738  0.5658E+01  0.1017E+02  0.1269E+03  0.1219E+03
      8.739  0.5305E+01  0.9996E+01  0.1269E+03  0.1219E+03
      8.741  0.5042E+01  0.9846E+01  0.1269E+03  0.1219E+03
      8.742  0.4871E+01  0.9735E+01  0.1270E+03  0.1219E+03
      8.743  0.4790E+01  0.9663E+01  0.1270E+03  0.1219E+03
      8.744  0.4797E+01  0.9629E+01  0.1270E+03  0.1219E+03
      8.745  0.4874E+01  0.9635E+01  0.1270E+03  0.1219E+03
      8.747  0.5216E+01  0.9679E+01  0.1270E+03  0.1220E+03
      8.748  0.5770E+01  0.9811E+01  0.1270E+03  0.1220E+03
      8.749  0.6350E+01  0.1014E+02  0.1270E+03  0.1220E+03
      8.750  0.6940E+01  0.1107E+02  0.1270E+03  0.1220E+03
      8.751  0.7499E+01  0.1237E+02  0.1270E+03  0.1220E+03
      8.753  0.8027E+01  0.1380E+02  0.1270E+03  0.1220E+03
      8.754  0.8525E+01  0.1516E+02  0.1270E+03  0.1220E+03
      8.755  0.9006E+01  0.1646E+02  0.1270E+03  0.1221E+03
      8.756  0.9649E+01  0.1769E+02  0.1270E+03  0.1221E+03
      8.757  0.1049E+02  0.1893E+02  0.1271E+03  0.1221E+03
      8.759  0.1139E+02  0.2015E+02  0.1271E+03  0.1221E+03
      8.760  0.1235E+02  0.2128E+02  0.1271E+03  0.1222E+03
      8.761  0.1310E+02  0.2233E+02  0.1271E+03  0.1222E+03
      8.762  0.1300E+02  0.2330E+02  0.1271E+03  0.1222E+03
      8.763  0.1253E+02  0.2419E+02  0.1271E+03  0.1222E+03
      8.765  0.1213E+02  0.2498E+02  0.1271E+03  0.1223E+03
      8.766  0.1179E+02  0.2569E+02  0.1272E+03  0.1223E+03
      8.767  0.1151E+02  0.2631E+02  0.1272E+03  0.1223E+03
      8.768  0.1130E+02  0.2925E+02  0.1272E+03  0.1224E+03
      8.769  0.1115E+02  0.3359E+02  0.1272E+03  0.1224E+03
      8.771  0.1104E+02  0.3590E+02  0.1272E+03  0.1224E+03
      8.772  0.1093E+02  0.3438E+02  0.1272E+03  0.1225E+03
      8.773  0.1081E+02  0.2960E+02  0.1272E+03  0.1225E+03
      8.774  0.1070E+02  0.2755E+02  0.1273E+03  0.1226E+03
      8.775  0.1058E+02  0.2572E+02  0.1273E+03  0.1226E+03
      8.777  0.1046E+02  0.2411E+02  0.1273E+03  0.1226E+03
      8.778  0.1034E+02  0.2278E+02  0.1273E+03  0.1226E+03
      8.779  0.1024E+02  0.2163E+02  0.1273E+03  0.1227E+03
      8.780  0.1019E+02  0.2057E+02  0.1273E+03  0.1227E+03
      8.781  0.1017E+02  0.1920E+02  0.1273E+03  0.1227E+03
      8.783  0.1020E+02  0.1746E+02  0.1273E+03  0.1227E+03
      8.784  0.1027E+02  0.1584E+02  0.1274E+03  0.1228E+03
      8.785  0.1037E+02  0.1491E+02  0.1274E+03  0.1228E+03
      8.786  0.1047E+02  0.1407E+02  0.1274E+03  0.1228E+03
      8.787  0.1066E+02  0.1333E+02  0.1274E+03  0.1228E+03
      8.789  0.1082E+02  0.1268E+02  0.1274E+03  0.1228E+03
      8.790  0.1087E+02  0.1210E+02  0.1274E+03  0.1228E+03
      8.791  0.1088E+02  0.1161E+02  0.1274E+03  0.1229E+03
      8.792  0.1089E+02  0.1120E+02  0.1274E+03  0.1229E+03
      8.793  0.1090E+02  0.1086E+02  0.1275E+03  0.1229E+03
      8.795  0.1092E+02  0.1061E+02  0.1275E+03  0.1229E+03
      8.796  0.1094E+02  0.1044E+02  0.1275E+03  0.1229E+03
      8.797  0.1096E+02  0.1022E+02  0.1275E+03  0.1229E+03
      8.798  0.1098E+02  0.9530E+01  0.1275E+03  0.1229E+03
      8.799  0.1100E+02  0.8343E+01  0.1275E+03  0.1229E+03
      8.801  0.1103E+02  0.7005E+01  0.1275E+03  0.1230E+03
      8.802  0.1106E+02  0.5786E+01  0.1276E+03  0.1230E+03
      8.803  0.1109E+02  0.4685E+01  0.1276E+03  0.1230E+03
      8.804  0.1112E+02  0.3703E+01  0.1276E+03  0.1230E+03
      8.805  0.1115E+02  0.2840E+01  0.1276E+03  0.1230E+03
      8.807  0.1119E+02  0.2095E+01  0.1276E+03  0.1230E+03
      8.808  0.1123E+02  0.1894E+01  0.1276E+03  0.1230E+03
      8.809  0.1127E+02  0.1710E+01  0.1276E+03  0.1230E+03
      8.810  0.1133E+02  0.1536E+01  0.1276E+03  0.1230E+03
      8.811  0.1139E+02  0.1371E+01  0.1277E+03  0.1230E+03
      8.813  0.1146E+02  0.1215E+01  0.1277E+03  0.1230E+03
      8.814  0.1160E+02  0.1069E+01  0.1277E+03  0.1230E+03
      8.815  0.1184E+02  0.9325E+00  0.1277E+03  0.1230E+03
      8.816  0.1216E+02  0.8050E+00  0.1277E+03  0.1230E+03
      8.817  0.1258E+02  0.6869E+00  0.1277E+03  0.1230E+03
      8.819  0.1309E+02  0.5782E+00  0.1277E+03  0.1230E+03
      8.820  0.1368E+02  0.4788E+00  0.1278E+03  0.1230E+03
      8.821  0.1373E+02  0.3888E+00  0.1278E+03  0.1230E+03
      8.822  0.1347E+02  0.3082E+00  0.1278E+03  0.1230E+03
      8.823  0.1317E+02  0.2369E+00  0.1278E+03  0.1230E+03
      8.825  0.1280E+02  0.1750E+00  0.1278E+03  0.1230E+03
      8.826  0.1239E+02  0.1284E+00  0.1278E+03  0.1230E+03
      8.827  0.1192E+02  0.1708E+00  0.1279E+03  0.1230E+03
      8.828  0.1140E+02  0.3430E+00  0.1279E+03  0.1230E+03
      8.829  0.1090E+02  0.9804E+00  0.1279E+03  0.1230E+03
      8.831  0.1056E+02  0.1926E+01  0.1279E+03  0.1230E+03
      8.832  0.1020E+02  0.3076E+01  0.1279E+03  0.1230E+03
      8.833  0.9788E+01  0.4425E+01  0.1279E+03  0.1230E+03
      8.834  0.9028E+01  0.5968E+01  0.1279E+03  0.1230E+03
      8.835  0.7885E+01  0.7653E+01  0.1279E+03  0.1230E+03
      8.837  0.6891E+01  0.9365E+01  0.1280E+03  0.1230E+03
      8.838  0.5930E+01  0.1110E+02  0.1280E+03  0.1230E+03
      8.839  0.5002E+01  0.1282E+02  0.1280E+03  0.1231E+03
      8.840  0.4107E+01  0.1429E+02  0.1280E+03  0.1231E+03
      8.841  0.3335E+01  0.1548E+02  0.1280E+03  0.1231E+03
      8.843  0.2983E+01  0.1652E+02  0.1280E+03  0.1231E+03
      8.844  0.2651E+01  0.1858E+02  0.1280E+03  0.1231E+03
      8.845  0.2339E+01  0.2008E+02  0.1280E+03  0.1232E+03
      8.846  0.2048E+01  0.2103E+02  0.1280E+03  0.1232E+03
      8.847  0.1776E+01  0.2168E+02  0.1280E+03  0.1232E+03
      8.849  0.1526E+01  0.2273E+02  0.1280E+03  0.1232E+03
      8.850  0.1295E+01  0.2355E+02  0.1280E+03  0.1233E+03
      8.851  0.1084E+01  0.2410E+02  0.1280E+03  0.1233E+03
      8.852  0.8943E+00  0.2429E+02  0.1280E+03  0.1233E+03
      8.853  0.7243E+00  0.2412E+02  0.1280E+03  0.1234E+03
      8.855  0.5747E+00  0.2374E+02  0.1280E+03  0.1234E+03
      8.856  0.4453E+00  0.2332E+02  0.1280E+03  0.1234E+03
      8.857  0.3361E+00  0.2288E+02  0.1280E+03  0.1234E+03
      8.858  0.2472E+00  0.2241E+02  0.1280E+03  0.1235E+03
      8.859  0.1785E+00  0.2191E+02  0.1280E+03  0.1235E+03
      8.861  0.1301E+00  0.2139E+02  0.1280E+03  0.1235E+03
      8.862  0.9894E-01  0.2088E+02  0.1280E+03  0.1235E+03
      8.863  0.7292E-01  0.2038E+02  0.1280E+03  0.1236E+03
      8.864  0.5086E-01  0.1991E+02  0.1280E+03  0.1236E+03
      8.865  0.3277E-01  0.1951E+02  0.1280E+03  0.1236E+03
      8.867  0.1863E-01  0.1927E+02  0.1280E+03  0.1236E+03
      8.868  0.8464E-02  0.1915E+02  0.1280E+03  0.1237E+03
      8.869  0.2255E-02  0.1898E+02  0.1280E+03  0.1237E+03
      8.870  0.8873E-05  0.1873E+02  0.1280E+03  0.1237E+03
      8.871  0.0000E+00  0.1838E+02  0.1280E+03  0.1237E+03
      8.873  0.0000E+00  0.1796E+02  0.1280E+03  0.1237E+03
      8.874  0.0000E+00  0.1744E+02  0.1280E+03  0.1238E+03
      8.875  0.0000E+00  0.1683E+02  0.1280E+03  0.1238E+03
      8.876  0.0000E+00  0.1614E+02  0.1280E+03  0.1238E+03
      8.877  0.0000E+00  0.1536E+02  0.1280E+03  0.1238E+03
      8.879  0.0000E+00  0.1450E+02  0.1280E+03  0.1238E+03
      8.880  0.0000E+00  0.1356E+02  0.1280E+03  0.1239E+03
      8.881  0.0000E+00  0.1254E+02  0.1280E+03  0.1239E+03
      8.882  0.0000E+00  0.1157E+02  0.1280E+03  0.1239E+03
      8.883  0.0000E+00  0.1066E+02  0.1280E+03  0.1239E+03
      8.885  0.0000E+00  0.9864E+01  0.1280E+03  0.1239E+03
      8.886  0.0000E+00  0.9179E+01  0.1280E+03  0.1239E+03
      8.887  0.0000E+00  0.8730E+01  0.1280E+03  0.1239E+03
      8.888  0.0000E+00  0.8528E+01  0.1280E+03  0.1240E+03
      8.889  0.0000E+00  0.7622E+01  0.1280E+03  0.1240E+03
      8.891  0.0000E+00  0.5697E+01  0.1280E+03  0.1240E+03
      8.892  0.0000E+00  0.3519E+01  0.1280E+03  0.1240E+03
      8.893  0.0000E+00  0.2547E+01  0.1280E+03  0.1240E+03
      8.894  0.0000E+00  0.2268E+01  0.1280E+03  0.1240E+03
      8.895  0.0000E+00  0.2042E+01  0.1280E+03  0.1240E+03
      8.897  0.0000E+00  0.1828E+01  0.1280E+03  0.1240E+03
      8.898  0.0000E+00  0.1626E+01  0.1280E+03  0.1240E+03
      8.899  0.0000E+00  0.1436E+01  0.1280E+03  0.1240E+03
      8.900  0.0000E+00  0.1258E+01  0.1280E+03  0.1240E+03
      8.901  0.0000E+00  0.1092E+01  0.1280E+03  0.1240E+03
      8.903  0.0000E+00  0.9375E+00  0.1280E+03  0.1240E+03
      8.904  0.0000E+00  0.7951E+00  0.1280E+03  0.1240E+03
      8.905  0.0000E+00  0.6646E+00  0.1280E+03  0.1240E+03
      8.906  0.0000E+00  0.5460E+00  0.1280E+03  0.1240E+03
      8.907  0.0000E+00  0.4394E+00  0.1280E+03  0.1240E+03
      8.909  0.0000E+00  0.3446E+00  0.1280E+03  0.1240E+03
      8.910  0.0000E+00  0.2617E+00  0.1280E+03  0.1240E+03
      8.911  0.0000E+00  0.1907E+00  0.1280E+03  0.1240E+03
      8.912  0.0000E+00  0.1317E+00  0.1280E+03  0.1240E+03
      8.913  0.0000E+00  0.8453E-01  0.1280E+03  0.1240E+03
      8.915  0.0000E+00  0.4891E-01  0.1280E+03  0.1240E+03
      8.916  0.0000E+00  0.2309E-01  0.1280E+03  0.1240E+03
      8.917  0.0000E+00  0.6843E-02  0.1280E+03  0.1240E+03
      8.918  0.0000E+00  0.1825E-03  0.1280E+03  0.1240E+03
      8.919  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.921  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.922  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.923  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.924  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.925  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.927  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.928  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.929  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.930  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.931  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.933  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.934  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.935  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.936  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.937  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.939  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.940  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.941  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.942  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.943  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.945  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.946  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.947  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.948  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.949  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.951  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.952  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.953  0.0000E+00  0.8972E-03  0.1280E+03  0.1240E+03
      8.954  0.0000E+00  0.1512E-01  0.1280E+03  0.1240E+03
      8.955  0.0000E+00  0.4663E-01  0.1280E+03  0.1240E+03
      8.957  0.0000E+00  0.9545E-01  0.1280E+03  0.1240E+03
      8.958  0.0000E+00  0.1616E+00  0.1280E+03  0.1240E+03
      8.959  0.0000E+00  0.2450E+00  0.1280E+03  0.1240E+03
      8.960  0.0000E+00  0.3457E+00  0.1280E+03  0.1240E+03
      8.961  0.0000E+00  0.4619E+00  0.1280E+03  0.1240E+03
      8.963  0.0000E+00  0.5825E+00  0.1280E+03  0.1240E+03
      8.964  0.0000E+00  0.7055E+00  0.1280E+03  0.1240E+03
      8.965  0.0000E+00  0.8308E+00  0.1280E+03  0.1240E+03
      8.966  0.0000E+00  0.9585E+00  0.1280E+03  0.1240E+03
      8.967  0.0000E+00  0.1089E+01  0.1280E+03  0.1240E+03
      8.969  0.0000E+00  0.1221E+01  0.1280E+03  0.1240E+03
      8.970  0.0000E+00  0.1356E+01  0.1280E+03  0.1240E+03
      8.971  0.0000E+00  0.1493E+01  0.1280E+03  0.1240E+03
      8.972  0.0000E+00  0.1632E+01  0.1280E+03  0.1240E+03
      8.973  0.0000E+00  0.1774E+01  0.1280E+03  0.1240E+03
      8.975  0.0000E+00  0.1918E+01  0.1280E+03  0.1240E+03
      8.976  0.0000E+00  0.2065E+01  0.1280E+03  0.1240E+03
      8.977  0.0000E+00  0.2214E+01  0.1280E+03  0.1240E+03
      8.978  0.0000E+00  0.2365E+01  0.1280E+03  0.1240E+03
      8.979  0.0000E+00  0.2519E+01  0.1280E+03  0.1240E+03
      8.981  0.0000E+00  0.2675E+01  0.1280E+03  0.1240E+03
      8.982  0.0000E+00  0.2833E+01  0.1280E+03  0.1240E+03
      8.983  0.0000E+00  0.2994E+01  0.1280E+03  0.1240E+03
      8.984  0.0000E+00  0.3157E+01  0.1280E+03  0.1240E+03
      8.985  0.0000E+00  0.3322E+01  0.1280E+03  0.1240E+03
      8.987  0.0000E+00  0.3490E+01  0.1280E+03  0.1240E+03
      8.988  0.0000E+00  0.3714E+01  0.1280E+03  0.1241E+03
      8.989  0.0000E+00  0.4039E+01  0.1280E+03  0.1241E+03
      8.990  0.0000E+00  0.4377E+01  0.1280E+03  0.1241E+03
      8.991  0.0000E+00  0.4728E+01  0.1280E+03  0.1241E+03
      8.993  0.0000E+00  0.5091E+01  0.1280E+03  0.1241E+03
      8.994  0.0000E+00  0.5467E+01  0.1280E+03  0.1241E+03
